app_name,url,developer,description,category,recommended_age,in_app_purchase,update_date,number_of_installations
人体（男）,https://applion.jp/android/app/com.rendernet.humanmale/,Mozaik Education,「人体（男）」は、Mozaik Educationが配信するエデュケーションアプリです。,教育,,,,
Match 3D Collect,https://applion.jp/android/app/com.puzzle.match3dcollect.gp/,Word Puzzle  Games,「Match 3D Collect」は、Word Puzzle  Gamesが配信するパズルゲームです。,パズルゲーム,,,,
Goods Match 3D - Triple Master,https://applion.jp/android/app/com.goodsmatch3d.find.puzzle/,Higgs Studio,「Goods Match 3D」は、スーパーマーケットで、同じ商品を3つ選んでかごに入れていく、買い物マッチパズルゲームです。,パズルゲーム,,,,
Match Ball 3D - Triple Tile,https://applion.jp/android/app/com.match.match3d/,Lion Studios,「Match Ball 3D」は、Lion Studiosが配信するパズルゲームです。,パズルゲーム,,,,
Triple Find - Match Triple 3D,https://applion.jp/android/app/and.lihuhu.findmatch/,LIHUHU PTE. LTD.,「Triple Find」は、LIHUHU PTE. LTD.が配信するパズルゲームです。,パズルゲーム,,,,
Avakin Life - 3D仮想世界,https://applion.jp/android/app/com.lockwoodpublishing.avakinlife/,Lockwood Publishing Ltd,「Avakin Life」は、Lockwood Publishing Ltdが配信するシミュレーションゲームです。,シミュレーション,12歳以上,あり,2024/08/19,"100,000,000～"
Tile Master 3D® - マッチングゲーム,https://applion.jp/android/app/com.higgs.tilemaster3d/,Higgs Studio,「Tile Master 3D®」は、Higgs Studioが配信するパズルゲームです。,パズルゲーム,,,,
Pocket World 3D,https://applion.jp/android/app/com.puzzle.miniworld/,Minimonster game limited,「Pocket World 3D」は、世界の様々な建築や、家をパーツを組み合わせて作り上げる、プラモデル作成ゲームです。,パズルゲーム,全年齢,あり,2024/08/14,"10,000,000～"
Goods Master 3D: 仕分けマスター 収納ゲーム,https://applion.jp/android/app/com.goods.master3d.triple.puzzle/,Cobby Labs,「Goods Master 3D」は、Cobby Labsが配信するパズルゲームです。,パズルゲーム,,,,
Goods Sort 3D: グッズソートパズルゲーム,https://applion.jp/android/app/com.goods.sorting.games.triple.match3d.puzzle/,Joymaster Puzzle Game Studio,「Goods Sort 3D」は、棚に同じアイテムを揃えて並べていく、仕分けパズルゲームです。,パズルゲーム,,,,
キューブマスター3D -マッチ3＆パズルゲーム,https://applion.jp/android/app/com.higgs.cubemaster3d/,Higgs Studio,「キューブマスター3D」は、キューブを回転させ、絵柄を揃えて消していく、3Dマッチパズルゲームです。,パズルゲーム,,,,
マッチ3Dマスター Match Triple 3D,https://applion.jp/android/app/and.lihuhu.machingtriple/,LIHUHU PTE. LTD.,「マッチ3Dマスター Match Triple 3D」は、LIHUHU PTE. LTD.が配信するパズルゲームです。,パズルゲーム,,,,
マッチトリプル3D,https://applion.jp/android/app/com.triplematch.tile.game/,Ghost Studio Company,「マッチトリプル3D」は、Ghost Studio Companyが配信するパズルゲームです。,パズルゲーム,,,,
ブロックジャム3D,https://applion.jp/android/app/com.partyup.blockjam/,VOODOO,「Block Jam 3D」は、同色のブロックキャラを3つ揃えて消していく、カジュアルパズルゲームです。,パズルゲーム,全年齢,あり,2024/08/22,"5,000,000～"
マッチ3パズル (パズマチ) Triple Match 3D,https://applion.jp/android/app/com.master.triple3d.find/,Boombox Games LTD,「マッチ3パズル (パズマチ) Triple Match 3D」は、Boombox Games LTDが配信するパズルゲームです。,パズルゲーム,全年齢,あり,2024/08/20,"5,000,000～"
Goods Sort 3D：グッズトリプルソートパズルゲーム,https://applion.jp/android/app/com.sorting.games.match3d.goods.triple.puzzle/,Pleasure City,「Goods Sort 3D：グッズトリプルソートパズルゲーム」は、同じ商品を同店に並べていく、アイテム仕分けパズルゲームです。,パズルゲーム,,,,
